potential,value_eur,wage_eur,movement_reactions,mentality_composure
93.0,78000000.0,320000.0,94.0,96.0
92.0,119500000.0,270000.0,93.0,88.0
91.0,45000000.0,270000.0,94.0,95.0
91.0,129000000.0,270000.0,89.0,93.0
91.0,125500000.0,350000.0,91.0,89.0
93.0,112000000.0,130000.0,88.0,68.0
95.0,194000000.0,230000.0,93.0,88.0
90.0,13500000.0,86000.0,87.0,70.0
92.0,99000000.0,250000.0,86.0,70.0
90.0,129500000.0,240000.0,92.0,91.0
90.0,100000000.0,230000.0,93.0,84.0
89.0,66000000.0,350000.0,91.0,90.0
91.0,85500000.0,250000.0,84.0,66.0
89.0,104000000.0,220000.0,91.0,89.0
89.0,88000000.0,310000.0,87.0,84.0
89.0,86000000.0,230000.0,87.0,90.0
89.0,101000000.0,270000.0,91.0,84.0
89.0,101000000.0,270000.0,92.0,90.0
91.0,94000000.0,200000.0,88.0,70.0
90.0,108000000.0,160000.0,88.0,85.0
90.0,82000000.0,190000.0,87.0,65.0
93.0,119500000.0,110000.0,85.0,68.0
88.0,24000000.0,115000.0,92.0,88.0
88.0,44500000.0,135000.0,92.0,87.0
88.0,75000000.0,310000.0,90.0,88.0
88.0,93500000.0,260000.0,91.0,86.0
88.0,15500000.0,130000.0,85.0,67.0
89.0,107500000.0,290000.0,90.0,78.0
89.0,107500000.0,250000.0,91.0,87.0
93.0,137500000.0,110000.0,88.0,84.0
87.0,51000000.0,260000.0,89.0,91.0
87.0,13500000.0,125000.0,85.0,65.0
87.0,32000000.0,190000.0,88.0,92.0
87.0,49500000.0,160000.0,84.0,86.0
87.0,42000000.0,105000.0,82.0,65.0
87.0,66000000.0,140000.0,94.0,84.0
87.0,67500000.0,125000.0,90.0,79.0
87.0,79500000.0,220000.0,83.0,88.0
87.0,79500000.0,155000.0,87.0,94.0
90.0,90500000.0,135000.0,87.0,86.0
88.0,93000000.0,140000.0,88.0,82.0
88.0,93000000.0,160000.0,80.0,79.0
88.0,83500000.0,175000.0,85.0,83.0
92.0,119500000.0,210000.0,88.0,90.0
92.0,114000000.0,150000.0,82.0,81.0
91.0,116500000.0,150000.0,85.0,86.0
91.0,102500000.0,170000.0,87.0,81.0
86.0,12000000.0,88000.0,80.0,83.0
86.0,7500000.0,78000.0,79.0,69.0
